OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-16 R/B,1992-076B,2026-05-18T04:25:20.616096,14.16868251,.0013423,71.0013,41.9840,339.5086,172.4796,0,U,22220,999,73167,-.82033E-4,-.213E-5,0
COSMOS 2221,1992-080A,2026-05-18T04:24:25.611264,14.96451009,.0013074,82.5052,212.5059,324.0081,36.0260,0,U,22236,999,79118,.74193E-4,.869E-5,0
SL-16 R/B,1992-093B,2026-05-18T04:59:23.915616,14.15458073,.0005564,71.0214,218.3257,223.0086,137.0603,0,U,22285,999,72299,-.44527E-4,-.135E-5,0
COSMOS 2228,1992-094A,2026-05-18T03:40:24.229344,14.97474455,.0019425,82.5179,170.8091,70.6234,289.7086,0,U,22286,999,78645,.86682E-4,.104E-4,0
SL-16 R/B,1993-016B,2026-05-18T04:26:06.432288,14.15311950,.00118,71.0084,69.2209,226.4205,133.5939,0,U,22566,999,71200,.51336E-4,.52E-6,0
COSMOS 2242,1993-024A,2026-05-18T03:58:50.608128,14.96810251,.0017738,82.5201,200.2610,74.1059,286.2117,0,U,22626,999,79078,.82501E-4,.974E-5,0
SL-16 R/B,1993-059B,2026-05-18T05:03:39.639744,14.17241632,.0015021,70.9904,224.5173,106.5540,253.7235,0,U,22803,999,68938,.10934E-3,.173E-5,0
ARIANE 40 R/B,1993-061H,2026-05-18T04:17:57.061824,14.32893679,.0011947,98.4830,205.6577,80.5239,279.7295,0,U,22830,999,70405,.58792E-4,.118E-5,0
COSMOS 2278,1994-023A,2026-05-18T01:09:19.640736,14.14385264,.0011032,71.0545,29.9855,279.6582,80.3294,0,U,23087,999,65461,-.93184E-4,-.226E-5,0
SL-16 R/B,1994-023B,2026-05-18T03:13:06.035232,14.15023068,.0004372,71.0003,285.0450,223.6220,136.4557,0,U,23088,999,65591,-.43362E-4,-.132E-5,0
