OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-11315 [DTC],2024-195F,2026-05-18T00:52:40.307232,15.69702412,.000057,53.1569,44.5312,81.8253,278.2829,0,U,61692,999,8992,.11337E-5,-.45E-5,0
STARLINK-11366 [DTC],2024-195G,2026-05-18T03:41:54.189024,15.69717596,.0001091,53.1586,43.8337,71.7397,288.3740,0,U,61693,999,8994,-.10642E-4,-.1878E-4,0
STARLINK-11348 [DTC],2024-195H,2026-05-18T03:34:50.466144,15.69711528,.0001204,53.1585,43.8014,68.2757,291.8389,0,U,61694,999,8994,.57805E-5,.112E-5,0
STARLINK-11327 [DTC],2024-195J,2026-05-18T03:27:46.496160,15.69714625,.0000954,53.1591,43.7689,107.0007,253.1115,0,U,61695,999,8994,.48385E-5,-.2E-7,0
STARLINK-11341 [DTC],2024-195K,2026-05-18T03:20:42.481248,15.69716824,.0001301,53.1608,43.7354,121.2794,238.8352,0,U,61696,999,8994,.94779E-5,.56E-5,0
STARLINK-11346 [DTC],2024-195L,2026-05-18T03:13:38.615808,15.69716087,.0001145,53.1598,43.7044,113.5887,246.5251,0,U,61697,999,8994,.14786E-4,.1203E-4,0
STARLINK-11296 [DTC],2024-195N,2026-05-17T17:49:25.809312,15.69699386,.00022471,53.1594,45.5235,87.3772,272.7503,0,U,61699,999,8988,-.3943793E-5,-.1068E-4,0
STARLINK-32349,2024-195P,2026-05-18T03:21:46.768032,15.30190730,.000115,53.1596,192.8401,92.1822,267.9310,0,U,61700,999,8781,-.3222E-4,-.1313E-4,0
STARLINK-32461,2024-195Q,2026-05-18T03:11:56.643936,15.34385246,.0001205,53.1604,192.0903,94.3401,265.7740,0,U,61701,999,8782,-.13184E-4,-.821E-5,0
STARLINK-32299,2024-195R,2026-05-17T20:44:37.846752,15.34389257,.00011254,53.1611,193.2532,91.6014,268.5117,0,U,61702,999,8785,.1006575E-5,-.342E-5,0
STARLINK-32335,2024-195S,2026-05-18T04:23:28.493088,16.03569787,.0012394,53.1300,163.3464,3.4237,356.6878,0,U,61703,999,8829,.1087E-2,.706146E-2,.2507E-3
STARLINK-32387,2024-195T,2026-05-18T03:57:15.782400,15.34383229,.0001291,53.1615,191.5736,75.7615,284.3531,0,U,61704,999,8783,-.41672E-4,-.1783E-4,0
STARLINK-32515,2024-195U,2026-05-18T03:50:38.770080,15.30196031,.0001221,53.1591,192.9607,81.5121,278.6018,0,U,61705,999,8781,.18616E-4,.192E-5,0
STARLINK-32533,2024-195V,2026-05-18T04:00:16.735968,15.34389894,.0001008,53.1602,191.5861,76.6737,283.4378,0,U,61706,999,8783,.17155E-4,.203E-5,0
STARLINK-32376,2024-196A,2026-05-17T17:50:13.328448,15.30188150,.00012336,53.1606,140.2668,81.1444,278.9697,0,U,61707,999,8774,-.7833683E-5,-.591E-5,0
STARLINK-32402,2024-196B,2026-05-18T03:58:36.383232,15.30200312,.0001201,53.1607,138.6354,84.6465,275.4673,0,U,61708,999,8779,.48677E-4,.1083E-4,0
STARLINK-32314,2024-196C,2026-05-18T03:34:17.679936,15.30194513,.0001011,53.1603,138.5249,82.7753,277.3363,0,U,61709,999,8779,-.10748E-4,-.677E-5,0
STARLINK-32404,2024-196D,2026-05-18T04:25:57.667008,15.30188453,.0001101,53.1595,138.7538,91.7341,268.3786,0,U,61710,999,8779,-.56478E-5,-.526E-5,0
STARLINK-32312,2024-196E,2026-05-18T03:23:39.602112,15.30187781,.0001132,53.1599,138.4784,76.3139,283.7988,0,U,61711,999,8779,-.22213E-4,-.1017E-4,0
STARLINK-32343,2024-196F,2026-05-18T04:10:46.241184,15.30187521,.0001145,53.1597,138.6849,85.9231,274.1901,0,U,61712,999,8779,-.23507E-4,-.1055E-4,0
STARLINK-32467,2024-196G,2026-05-17T17:44:18.398976,15.30184816,.0001176,53.1601,140.9504,89.7368,270.3768,0,U,61713,999,8772,-.2301521E-4,-.104E-4,0
STARLINK-32440,2024-196H,2026-05-18T04:01:39.235872,15.30187408,.0001118,53.1588,138.6439,88.8637,271.2492,0,U,61714,999,8779,-.10381E-4,-.666E-5,0
STARLINK-32459,2024-196J,2026-05-18T03:43:25.366944,15.30115739,.0001819,53.1593,138.5594,60.5741,299.5441,0,U,61715,999,8779,.53895E-3,.15595E-3,0
STARLINK-32465,2024-196K,2026-05-18T04:35:04.731936,15.30187155,.0001206,53.1600,138.7924,94.4286,265.6853,0,U,61716,999,8779,-.56221E-5,-.526E-5,0
